wikipedia-24896-25-30-33-19-21	영국에서 사용되는 스포츠 유틸리티 자동차 브랜드에서는 랜드로버와 지프가 있고, 이 블랜드는 자동車 종류를 가리키는 말로 사용될 수도 있다.	랜드로버	30	33	자동차	19	21	단체:제작
wikipedia-12728-224-5-7-42-44	선거에서 민주당은 해산 전 의석의 230석에 아직 못 미치는 57석(지역구 27석, 비례대표 30석)을 획득하는 데 그쳤다.	민주당	5	7	27석	42	44	관계_없음
wikitree-7590-2-33-35-19-21	이에 관해서 AFCD는 대학 소속 전문가와 세계동물보건기관(OIE)이 사람과 동물 사이에서 코로나 19이 전파될 가능성이 크다고 말했다.	OIE	33	35	전문가	19	21	관계_없음
wikitree-48285-0-17-21-86-88	"김동양, NH투자증권 리서처, 사이드, ""삼성SDS의 3분기 매출액은 2 trillion604억원, 영업이익은 2213억원이 된다""며 ""매출은 작년 동기간에 비해 10% 증가하여 시장 기대를 충족시킬 것으로 생각하고 영업利익은 11% 늘어나지만 기대는 하회될 것""이라고 설명했다."	삼성SDS	17	21	10%	86	88	관계_없음
wikitree-19566-0-0-2-4-6	심상정 정의당 대표는 21일, 국민에게는 이번 총선에서 지지부진한 정치계의 이합집산과 꼼수정치를 심판하여 진짜 정치혁명의 길을 열어주도록 말했다.	심상정	0	2	정의당	4	6	인물:소속단체
wikipedia-26351-26-43-48-22-28	철뇌를 소지한 병사가 실전에 임한 것은 제3차 십자군 원정의 때이지만, 라이온 심왕 리처드 1세가 지도하는 군대는 무슬림 전사들을 쏘기 위해 이 무기를 소유했다.	리처드 1세	43	48	제3차 십자군	22	28	관계_없음
wikitree-62775-3-3-7-0-2	시흥시 중앙도서관은 2010년부터 오디오북을 구매하기 시작했고, 현재는 1,331종 6,655권의 콘텐츠를 가지고 있다.	중앙도서관	3	7	시흥시	0	2	관계_없음
wikipedia-12904-27-13-15-4-6	스포츠 자동차만 만들고 있던 포르쉐가 SUV를 만드는 것에, 차 평론가들은 의문을 제기했다.	포르쉐	13	15	자동차	4	6	단체:제작
wikipedia-23059-277-22-24-13-19	해양수산부를 신설하고 교육과학기술부를 교육부와 미래창조과학부로 개편하여 외교통상부를 외교부에 개혁했다.	교육부	22	24	교육과학기술부	13	19	단체:별칭
wikitree-75780-1-107-109-13-14	이 날의 일심 조회는 민선 7기 취임 1주년을 기념하고, 지난 1년간의 주요 구성 성과를 되돌아보며, '새로운 변화, 모두가 행복한 동구'를 만들기 위한 전 직원의 새 결의와 각오를 굳히는 장소로, 최근 인천시가 수도의 적수 상황 등을 고려해 외부인사 초대 없이 종업원과의 통신 장소에 간단히 갔다.	인천시	107	109	7기	13	14	관계_없음
