wikipedia-24896-25-30-33-19-21	영국에서 사용되는 스포츠카 브랜드에는 랜드로버와 지프가 포함되어 있으며, 이들 브랜딩도 자동차 유형을 언급하는 단어로 사용된다.	랜드로버	30	33	자동차	19	21	단체:제작
wikipedia-12728-224-5-7-42-44	선거에서는 민주당이 해산 전 230석을 훨씬 밑도는 57석(구 27석, 비례대표 30석)에 그쳤다.	민주당	5	7	27석	42	44	관계_없음
wikipedia-11479-37-24-26-3-5	부진한 공격수 차디와 시즌 초반 활약을 펼친 강수일의 부진, 중반 영입한 세르비아 미드필더 오겐 코로만의 부상 등이 부진의 원인으로 지적된 가운데 인천은 지난 4경기에서 3승1패로 막판 포인트 구축에 성공해 정규리그 5위로 플레이오프에 진출했다.	강수일	24	26	공격수	3	5	인물:직업/직함
wikitree-7590-2-33-35-19-21	이와 관련해 AFCD는 대학 전문가와 세계동물보건기구(OIE)가 인간과 동물 사이에 코로나 19개를 확산시킬 가능성이 높다고 밝혔다.	OIE	33	35	전문가	19	21	관계_없음
wikitree-48285-0-17-21-86-88	"김동양 NH투자증권 연구원은 ""삼성SDS 3분기 매출액이 2조6,600억원에 달하고 영업이익은 2,213억원 증가할 것으로 예상된다""며 ""지난해 같은 기간 대비 매출이 10% 늘어나 시장 기대에 부응하고 있으며 11% 증가하겠지만 기대치는 아래로 떨어질 전망""이라고 말했다."	삼성SDS	17	21	10%	86	88	관계_없음
wikitree-19566-0-0-2-4-6	"심상정 정의당 대표는 21일 ""이번 총선에서 부진한 정계의 통합과 꼼꼼한 정치를 국민들이 판단하고 진짜 정치혁명의 길을 열어야 한다""고 말했다."	심상정	0	2	정의당	4	6	인물:소속단체
wikipedia-8763-258-41-43-17-22	다만 민주당의 일부 정치권 인사들이 대한민국 미투 운동에 관여했고, 박수현 문재인 정부 첫 청와대 대변인이 스캔들에 휘말렸고, 금융감독원장으로 임명된 김기식 의원이 다시 한번 더 논란에 휩싸여 더불어민주당 댓글까지 조작하면서 위기에 빠졌다.	문재인	41	43	더불어민주당	17	22	인물:소속단체
wikipedia-23314-4-17-26-11-13	'스테인'이라는 이름은 물리학자 알베르트 아인슈타인에서 나왔으며, 상대론 등 물리적 요소가 스토리 구조에 포함돼 있다.	알베르트 아인슈타인	17	26	물리학	11	13	관계_없음
wikipedia-13428-3-6-8-59-61	나아가 진숙보는 심 여사(심 분)를 폐쇄하고 장구비를 새로운 여왕으로 세우려 했지만 그 전에는 이미 수나에서 진나라가 파괴될 것이다.	진숙보	6	8	진나라	59	61	인물:출신성분/국적
wikipedia-12904-27-13-15-4-6	자동차 비판론자들은 스포츠카를 만들던 포르쉐가 SUV를 만든다는 의혹도 제기했다.	포르쉐	13	15	자동차	4	6	단체:제작
wikitree-53030-2-0-2-4-5	염건령 강사는 인구 변화의 심각성을 이야기하면서도 저출산과 고령인구의 급격한 증가가 세금 문제로 이어져 사회적 문제가 될 수 있다고 말했고, 이번 위기를 극복하기 위해 아이들이 태어나고 자랄 수도 있는 환경을 조성하는 것이 중요	염건령	0	2	강사	4	5	인물:직업/직함
wikipedia-23059-277-22-24-13-19	해양수산부가 설립됐고 교육과학기술부가 교육부와 미래 창의과학부로 개편됐으며 외교통상부가 외교부로 재편됐다.	교육부	22	24	교육과학기술부	13	19	단체:별칭
wikitree-75780-1-107-109-13-14	이날 일방적인 조사는 민선 7기 취임 1주년을 맞아 지난 1년간의 주요 성과를 반영하고 '새로운 변화, 모두의 행복한 동구'를 만들기 위해 모든 직원들의 신규 의지와 결의를 강화하기 위한 자리였으며, 최근 인천시는 외부인력을 초청하지 않고 직원과 소통하는 자리로 개최했다.	인천시	107	109	7기	13	14	관계_없음
wikitree-65462-0-0-4-9-11	남부대학교(총장 조성수) 총격대가 1∼6일 전북총사격센터에서 열린 제48회 문화체육관광부 장관 국립학생총격대회에서 금메달 1개와 은메달 3개를 수상했다.	남부대학교	0	4	조성수	9	11	단체:구성원
wikitree-17314-4-4-7-10-12	지난해 LG전자의 4분기 매출액은 총 166억1200만원, 영업이익은 1018억원이었다.	LG전자	4	7	4분기	10	12	관계_없음
wikitree-51369-6-32-36-28-30	양명고, 양명여고, 대림대가 인근에 있고, 안양시 비산도서관과 평촌학원도 참석이 편안하다.	비산도서관	32	36	안양시	28	30	단체:상위_단체
wikipedia-20141-85-44-46-39-41	1997년 11월 3일 새 정치국회는 내각제도 개정을 약속하고 김종필,박태준 후보와 단일화하기로 합의했다.	박태준	44	46	김종필	39	41	인물:동료
wikipedia-26560-42-23-24-0-2	이의방은 문국겸과 가까웠고, 동생 이린(이웃집)은 문경겸의 사위였다.	이린	23	24	이의방	0	2	인물:형제/자매/남매
wikipedia-1759-156-3-4-0-1	세훈앤찬열(EXO-SC)의 첫 미니앨범 '어떤 삶'이 오는 7월 22일 공개되며 다양한 분위기의 6곡이 담긴다.	찬열	3	4	세훈	0	1	인물:동료
wikipedia-17539-7-23-26-0-4	1914년 1차 세계대전이 발발해 프랑스군에 의해 징집됐고, 1915년 1월 25일 코를 잃어 다쳤다.	프랑스군	23	26	1914년	0	4	관계_없음
wikipedia-11505-15-5-7-25-27	오늘날의 UBS는 1998년 6월 스위스 유나이티드 뱅크와 리스 뱅크 공사가 만든 것이다.	UBS	5	7	스위스	25	27	관계_없음
wikipedia-15945-163-51-53-65-69	"박경서 전 인권대사는 ""노벨상은 로비로 상과 거리가 있고, 돈 개입은 황당하고, 김대중 전 대통령은 1987년 이미 강력한 노벨평화상 후보였다""고 말했다."	김대중	51	53	1987년	65	69	관계_없음
wikitree-23753-8-39-42-35-37	유진 기업들이 첨단 기술로 스마트공장을 추진하는 이유는 유경선 유진그룹 회장의 미래 준비형 콘크리트 사업 방향과 전략에서 찾을 수 있다.	유진그룹	39	42	유경선	35	37	단체:구성원
